date;value
05.01.2014;904
06.01.2014;925
07.01.2014;757,11
08.01.2014;821,17
09.01.2014;821,7
10.01.2014;841
11.01.2014;890,38
12.01.2014;835,49
13.01.2014;824,83
14.01.2014;819,47
15.01.2014;838
16.01.2014;813,38
17.01.2014;795
18.01.2014;817,5
19.01.2014;839
20.01.2014;829
21.01.2014;831,55
22.01.2014;822
23.01.2014;809,29
24.01.2014;774,98
25.01.2014;806,25
26.01.2014;817,8
27.01.2014;748,9
28.01.2014;774,9
29.01.2014;790,09
30.01.2014;795
31.01.2014;797
01.02.2014;800
02.02.2014;799,9
03.02.2014;798,9
04.02.2014;800,53
05.02.2014;784,75
06.02.2014;764,86
07.02.2014;709,97
08.02.2014;695,99
09.02.2014;697,5
10.02.2014;671
11.02.2014;664,67
12.02.2014;643,52
13.02.2014;591,39
14.02.2014;643,62
15.02.2014;637,13
16.02.2014;599
17.02.2014;613,44
18.02.2014;615
19.02.2014;611
20.02.2014;542
21.02.2014;555,5
22.02.2014;597,56
23.02.2014;598
24.02.2014;555,76
25.02.2014;535
26.02.2014;568
27.02.2014;569,88
28.02.2014;536,3
01.03.2014;562,3
02.03.2014;554
03.03.2014;644,03
04.03.2014;656,56
05.03.2014;653,15
06.03.2014;648
07.03.2014;619,72
08.03.2014;609,97
09.03.2014;627
10.03.2014;622,6
11.03.2014;626
12.03.2014;628,45
13.03.2014;629,75
14.03.2014;622,09
15.03.2014;629,02
16.03.2014;624,89
17.03.2014;617,43
18.03.2014;614
19.03.2014;606,1
20.03.2014;589
21.03.2014;572,94
22.03.2014;567,1
23.03.2014;568
24.03.2014;588,71
25.03.2014;579
26.03.2014;579,5
27.03.2014;484,99
28.03.2014;503,93
29.03.2014;496,49
30.03.2014;467,63
31.03.2014;462,09
01.04.2014;479,9
02.04.2014;435
03.04.2014;444
04.04.2014;446,3
05.04.2014;467,78
06.04.2014;463,06
07.04.2014;444
08.04.2014;445,72
09.04.2014;436,69
10.04.2014;356,95
11.04.2014;416,52
12.04.2014;415,87
13.04.2014;412
14.04.2014;454,42
15.04.2014;518
16.04.2014;527
17.04.2014;487
